Model,Replicate,log-likelihood,AIC,chi-squared,theta,optimized_params
anc_asym_mig,Round_4_Replicate_2,-228943.11,457898.22,505372.6,1169041.8,"4.0255,0.8011,1.4517,0.6381,0.3443,0.0525"
anc_asym_mig,Round_4_Replicate_7,-249610.22,499232.44,543103.22,1274686.22,"3.2293,0.7207,1.6885,0.2898,0.3014,0.0486"
anc_asym_mig,Round_4_Replicate_23,-251605.63,503223.26,545067.11,1330961.5,"3.2501,0.6725,1.6965,0.2778,0.2495,0.0486"
anc_asym_mig,Round_4_Replicate_29,-255197.72,510407.44,567209.79,1370980.76,"3.7728,0.5944,1.7571,0.4737,0.2143,0.0442"
anc_asym_mig,Round_4_Replicate_38,-255699.03,511410.06,557070.6,1345936.84,"3.4254,0.649,1.8513,0.2951,0.2215,0.0589"
anc_asym_mig_size,Round_4_Replicate_10,-74316.12,148648.24,150618.32,1113952.79,"5.1528,0.3112,1.4731,0.4081,2.2967,9.842,0.5872,0.0571"
anc_asym_mig_size,Round_4_Replicate_39,-83852.73,167721.46,168769.85,1213104.28,"4.457,0.5376,2.6076,0.2471,3.393,10.9591,0.401,0.0541"
anc_asym_mig_size,Round_4_Replicate_8,-109504.38,219024.76,231592.48,1029395.33,"6.6179,0.5191,4.0203,0.5756,2.5604,8.8708,0.4317,0.1148"
anc_asym_mig_size,Round_4_Replicate_38,-112949.56,225915.12,224957.37,1057611.86,"8.8735,0.2341,1.9004,0.7438,2.029,10.9503,0.4877,0.0888"
anc_asym_mig_size,Round_4_Replicate_40,-123380.82,246777.64,247339.35,1231768.25,"6.5727,0.6991,1.3607,0.3741,4.511,9.127,0.3863,0.0768"
anc_sym_mig,Round_4_Replicate_13,-106680.47,213370.94,250882.61,732689.3,"5.1442,0.811,1.725,1.7123,0.0961"
anc_sym_mig,Round_4_Replicate_39,-119336.22,238682.44,264321.88,807717.42,"4.3009,0.782,1.2359,1.3358,0.0629"
anc_sym_mig,Round_4_Replicate_40,-127458.71,254927.42,274595.85,905248.08,"3.2734,0.7072,1.6342,1.3133,0.0648"
anc_sym_mig,Round_4_Replicate_23,-132341.53,264693.06,285816.36,979925.17,"4.0282,0.8046,1.911,0.6401,0.0953"
anc_sym_mig,Round_4_Replicate_8,-136696.23,273402.46,305826.91,817687.07,"4.1818,0.6906,1.3779,1.5287,0.0597"
anc_sym_mig_size,Round_4_Replicate_15,-184055.76,368125.52,392190.94,1349364.64,"3.4656,1.0012,19.6469,0.1672,0.2929,0.2362,0.0151"
anc_sym_mig_size,Round_4_Replicate_19,-191860.37,383734.74,418115.68,1366329.31,"3.3388,1.3905,23.6636,0.1671,0.1708,0.2182,0.0242"
anc_sym_mig_size,Round_4_Replicate_35,-202564.73,405143.46,433658.79,1419210.48,"2.4216,1.7141,26.6964,0.2092,0.2572,0.1904,0.0396"
anc_sym_mig_size,Round_4_Replicate_10,-203444.89,406903.78,424189.26,1436873.87,"3.3098,0.7629,11.2744,0.1607,0.2512,0.1997,0.0118"
anc_sym_mig_size,Round_4_Replicate_36,-204413.47,408840.94,441985.93,1339887.66,"3.1346,1.3483,12.272,0.2809,0.2332,0.2111,0.0385"
asym_mig,Round_4_Replicate_9,-74367.52,148745.04,143206.82,890036.14,"4.2341,0.4249,0.2241,2.6155,0.9886"
asym_mig,Round_4_Replicate_22,-75914.28,151838.56,147875.53,913832.16,"4.1633,0.4143,0.2734,2.6346,0.9377"
asym_mig,Round_4_Replicate_35,-79605.97,159221.94,156083.32,1019575.67,"3.9065,0.4157,0.2824,2.6481,0.6964"
asym_mig,Round_4_Replicate_34,-82663.91,165337.82,163779.12,1053976.11,"4.1337,0.3296,0.1525,3.4653,0.6243"
asym_mig,Round_4_Replicate_12,-84385.15,168780.3,167725.93,1070555.86,"4.0383,0.3421,0.2144,3.2412,0.604"
asym_mig_size,Round_4_Replicate_3,-72257.63,144531.26,139569.15,524542.47,"1.4895,0.1279,7.5852,0.669,0.122,1.7043,13.6191,1.5758"
asym_mig_size,Round_4_Replicate_20,-81346.12,162708.24,151379.63,515778.17,"1.3948,0.0819,7.0076,0.6133,0.0697,1.9485,12.4216,2.041"
asym_mig_size,Round_4_Replicate_26,-86618.78,173253.56,167704.82,477629.44,"1.7368,0.0409,8.5546,0.5177,0.0723,2.3355,12.0541,1.869"
asym_mig_size,Round_4_Replicate_10,-87576.29,175168.58,163717.54,464160.88,"1.6439,0.0644,7.8491,0.6922,0.0979,1.865,17.2655,2.1036"
asym_mig_size,Round_4_Replicate_22,-90571.9,181159.8,169399.71,432946.2,"2.077,0.076,8.3669,0.7565,0.0763,1.7191,14.206,1.9745"
asym_mig_twoepoch,Round_4_Replicate_27,-70160.21,140336.42,138758.77,579592.8,"5.6142,0.8373,1.7503,5.2118,0.2436,0.9746,1.9186,0.4204"
asym_mig_twoepoch,Round_4_Replicate_40,-76902.67,153821.34,148257.09,440579.7,"8.6915,0.8073,2.1746,2.6532,0.0858,1.4309,3.0643,1.0613"
asym_mig_twoepoch,Round_4_Replicate_38,-81399.05,162814.1,159551.01,612511.08,"5.2964,0.8429,1.8728,7.178,0.1377,0.7566,1.6104,0.4162"
asym_mig_twoepoch,Round_4_Replicate_11,-83469.57,166955.14,164425.01,753726.63,"4.7472,0.6333,1.8884,3.0112,0.2608,1.6022,0.9919,0.4856"
asym_mig_twoepoch,Round_4_Replicate_29,-85583.23,171182.46,168971.71,361722.13,"8.4206,1.4087,1.2097,4.5664,0.1889,0.5761,3.7374,0.6892"
no_mig,Round_4_Replicate_22,-281687.38,563380.76,596870.72,1474507.32,"4.1933,0.5379,0.1713"
