Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
sym_mig_size	Round_4_Replicate_27	-45427.15	90868.3	93350.7	1017336.16	6.2836,3.9029,2.9782,0.4168,0.9434,0.4375,0.1415	
asym_mig_twoepoch	Round_4_Replicate_27	-70160.21	140336.42	138758.77	579592.8	5.6142,0.8373,1.7503,5.2118,0.2436,0.9746,1.9186,0.4204	
asym_mig_size	Round_4_Replicate_3	-72257.63	144531.26	139569.15	524542.47	1.4895,0.1279,7.5852,0.669,0.122,1.7043,13.6191,1.5758	
anc_asym_mig_size	Round_4_Replicate_10	-74316.12	148648.24	150618.32	1113952.79	5.1528,0.3112,1.4731,0.4081,2.2967,9.842,0.5872,0.0571	
asym_mig	Round_4_Replicate_9	-74367.52	148745.04	143206.82	890036.14	4.2341,0.4249,0.2241,2.6155,0.9886	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-79009.76	158033.52	160204.1	976060.77	3.8121,0.6424,1.7801,6.7552,0.4861,0.1256,2.7765	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_37	-92676.27	185364.54	195414.8	970935.44	3.8443,0.7147,6.8829,0.5459,0.1669,0.1617	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_36	-103394.72	206805.44	236420.41	250965.1	0.039,0.0605,13.927,2.5539,0.534,0.5627,7.1207,0.2694	
anc_sym_mig	Round_4_Replicate_13	-106680.47	213370.94	250882.61	732689.3	5.1442,0.811,1.725,1.7123,0.0961	
sec_contact_asym_mig_size	Round_4_Replicate_34	-115861.14	231738.28	217212.65	167218.62	1.0224,0.0589,19.2554,1.9386,0.031,0.6113,1.0835,10.812	
sec_contact_sym_mig	Round_4_Replicate_17	-166638.58	333287.16	359759.02	1116454.95	3.3974,0.6724,0.9141,0.1083,0.4346	
sec_contact_sym_mig_size	Round_4_Replicate_6	-176145.12	352304.24	428013.22	1061744.65	1.4994,1.3978,3.5159,0.6108,1.1477,0.0655,0.6447	
sym_mig_twoepoch	Round_4_Replicate_40	-178216.88	356445.76	393305.45	535858.14	5.8073,1.2766,0.8319,0.5444,0.1499,2.4384	
sym_mig	Round_4_Replicate_35	-180576.94	361161.88	399756.3	418395.04	7.1193,1.5967,0.4456,3.84	
anc_sym_mig_size	Round_4_Replicate_15	-184055.76	368125.52	392190.94	1349364.64	3.4656,1.0012,19.6469,0.1672,0.2929,0.2362,0.0151	
no_mig_size	Round_4_Replicate_20	-207066.59	414145.18	447440.62	1383667.82	2.7674,5.9542,18.7539,0.2256,0.178,0.053	
anc_asym_mig	Round_4_Replicate_2	-228943.11	457898.22	505372.6	1169041.8	4.0255,0.8011,1.4517,0.6381,0.3443,0.0525	
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_2	-262004.34	524026.68	490137.36	352245.42	9.2499,0.2632,9.7749,3.0947,14.8383,8.4854,2.7319,2.1639,0.6955	
no_mig	Round_4_Replicate_22	-281687.38	563380.76	596870.72	1474507.32	4.1933,0.5379,0.1713	
sec_contact_asym_mig	Round_4_Replicate_35	-390266.94	780545.88	1145743.49	4278144.48	0.6568,0.1606,8.6384,2.3366,0.5887,10.9461	
