nu1a	 nu2a	 nu1b	 nu2b	 m	 T1	 T2	theta	log-likelihood	Nancestral	China_a	India_a	 China_b	 India_b	 Sym.Migration	 T1_divergence 	 T2_size.change
6.724490305	4.483257284	0.962379569	0.086137578	0.040623339	0.329453496	0.017199479	1198040.968	-195844.5716	84132.5977	565748.8376	377188.0815	80967.49313	7246.9782	2.41424E-07	609791.1258	31834.81075
5.515027028	1.010074928	0.627317971	0.060130082	0.009081142	0.217211925	0.00599002	1399978.99	-205108.9691	98313.72404	542202.8452	99304.22772	61673.96592	5911.612253	4.61845E-08	469808.0911	12955.82612
0.667459045	3.785584321	2.342683851	0.380940334	0.094146502	0.016822921	0.111235174	1699921.15	-365173.1322	119377.205	79679.39525	451912.4754	279663.0502	45475.59232	3.94324E-07	44182.01189	292136.7729
2.285591814	0.73526848	0.367913803	0.614054718	0.022946398	0.185560465	0.001114972	1492428.461	-427445.2403	104806.0013	239543.7385	77060.54925	38559.57453	64356.61959	1.09471E-07	427852.7082	2570.8272
2.794564186	1.946276716	1.908730652	0.642352245	0.004480854	0.143936614	0.134331431	1368529.52	-468104.5802	96105.18056	268572.0957	187047.2752	183438.904	61733.37848	2.33122E-08	304327.1937	284018.8223
1.149583291	0.795935897	2.948202385	1.10657463	0.01125792	0.010020711	0.35818751	1168944.257	-635611.1792	82089.27699	94368.46123	65337.80236	242015.8022	90837.91129	6.85712E-08	18097.0446	646873.7811
0.251471015	0.739383892	2.786292002	1.269751711	0.00562251	0.01009869	0.21952114	1330369.672	-699620.2833	93425.39978	23493.78013	69077.23566	260310.4442	118627.0613	3.00909E-08	20756.43086	451194.7059
2.87763739	3.700826636	0.641951422	0.160133654	0.057450926	0.687055849	0.031696674	1058422.441	-1368793.289	74327.86673	213888.6484	275074.5489	47714.87971	11902.39289	3.8647E-07	1123482.704	51830.81619
3.410900692	3.216540362	1.293983252	2.453794004	0.013097181	0.337878938	0.030335425	1030830.123	-1445184.623	72390.19227	246915.7569	232845.9753	93671.69638	177630.6197	9.04624E-08	538100.6678	48311.72019
3.34365792	2.846680244	0.481976147	1.506901503	0.024244583	0.26135337	0.00421024	1152843.329	-1528707.781	80958.58702	270697.8207	230463.2103	39020.10783	121996.6165	1.49734E-07	465493.5898	7498.811212
0.750788247	3.854259735	2.645669482	2.027781368	0.019118631	0.160488734	0.427278907	964783.2511	-1719747.737	67752.04127	50867.43632	261133.9646	179249.5079	137386.3269	1.41093E-07	239215.6654	636878.3995
3.701706936	0.993896748	1.71493205	0.628666917	0.021624668	0.324768549	0.233976972	1203155.941	-1725486.69	84491.79735	312763.8723	83976.12261	144897.6912	53117.19773	1.27969E-07	603686.1245	434920.967
3.803984149	3.887632335	2.418847793	0.476236583	0.03465109	0.487045183	0.311198713	1041659.811	-1982082.673	73150.70865	278264.1362	284383.0603	176940.4302	34837.04352	2.36847E-07	783809.4057	500816.9408
0.756841809	1.622431116	2.390911224	1.674165947	0.005094238	0.138152962	0.509964245	988885.7562	-2035297.092	69444.64312	52558.60934	112669.1498	166035.9767	116261.8567	3.66784E-08	211067.6291	779114.2692
2.522149287	2.179921132	1.882070351	1.398530529	0.028504694	0.622989673	0.248589624	915069.5352	-2148385.61	64260.88848	162075.5541	140083.6687	120943.513	89870.81434	2.21789E-07	880745.1383	351440.983
1.148317686	1.527698793	3.264121711	2.513384472	0.046352671	0.461202819	0.368459685	856617.3239	-2181582.559	60156.07362	69078.28324	91900.36103	196356.7459	151195.3413	3.8527E-07	610371.3154	487631.9339
3.005646479	2.279441717	2.693843007	1.167450804	0.07470918	0.339951855	0.981305876	815459.7523	-2223731.904	57265.77729	172120.6819	130534.0017	154265.0137	66854.97773	6.52302E-07	428287.3582	1236295.362
